"name","desc","image","price","orig_price","discount_given"
"Apple MGN63HNA MacBook Air ","Apple M1 Chip/8GB/256GB SSD/macOS Big Sur/Retina, 33.78 cm ","/medias/Apple-MGN63HNA-Laptops-491946461-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w0MjM5M3xpbWFnZS9qcGVnfGltYWdlcy9oYzcvaDE0Lzk0NDMwODM3ODAxMjYuanBnfGUwMGRjNjBhZDVlM2NlMmUyYmFhMTk1MjNmMDM5NTEzMWUzODRhODE0ZjdmOWM2OGEyODBjYjhjMGNlOWExZWY","₹84,490.00","₹99,900.00","15%(₹15,410)"
"HP 15s-FQ5112TU Laptop ","12th Gen Intel Core i5-1235U/16GB/512GB SSD/Iris Xe Graphics/Windows 11 Home/MSO/FHD, 39.6 cm ","/medias/HP-6Q2M3PA-ACJ-Laptop-493177049-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wzMDMwM3xpbWFnZS9qcGVnfGltYWdlcy9oZDgvaDYyLzk4NjQyODcwNTk5OTguanBnfGI5YjAxYjQ4MjliZjhjODU0NWY0NjJkODQ0MmJhZmI5Y2RmZTQ1NGZhZTg2MWFiOTRjMjQ2MzdjMzIwODg4Yjk","₹64,849.00","₹74,177.00","13%(₹9,328)"
"Dell Inspiron 15 3520 Laptop ","12th Gen Intel Core i5-1235U/8 GB/512 GB SSD/Windows 11 Home/Integrated Graphics/MSO/FHD, 39.62 cm ","/medias/Dell-D560878WIN9S-Laptop-493664889-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxODQxM3xpbWFnZS9qcGVnfGltYWdlcy9oNGEvaGY5Lzk5NjIyODkxNjg0MTQuanBnfDkyYmYzZmVkNDVlODE4MjNkNmVlMzZjM2ZiMDZlODE2YmJiMDQzZTJlYzlhZDMzZWU3MWYzNDIyYzhkM2E5ZDg","₹63,999.00","₹73,685.00","13%(₹9,686)"
"Dell Insprion 3520 Laptop ","12th Gen-Intel-Core i5-1235U/8 GB RAM/512 GB/Intel Integrated Graphics/Windows 11/MSO/FHD  39.62 cm ","/medias/Dell-Inspiron-Laptop-493178764-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMjA3MnxpbWFnZS9qcGVnfGltYWdlcy9oOTcvaDRiLzk5OTMwNjcwNjk0NzAuanBnfGI1MjRlZGFkNzE2MzNkMGZhOWYzNGU2OGIzZWY1MzE2ZDUwYjBjZTQwZGQ3ZDVlZTZmMTkxNTU2NzU1ZWNiYmE","₹57,493.00","₹65,867.00","13%(₹8,374)"
"Dell Insprion 3520 Laptop ","12th Gen Intel Core i3-1215U/8GB RAM/512 GB/Intel Integrated Graphics/Windows 11//MSO/FHD","/build/client/images/loaders/mdefault.png","₹45,249.00","₹54,249.00","17%(₹9,000)"
"HP 15s-fq2672TU Laptop ","11th Gen Intel Core i3-1115G4/8GB RAM/512GB SSD/UHD Graphics/Windows 11 Home/MSO/FHD, 39.6 cm ","/build/client/images/loaders/mdefault.png","₹40,499.00","₹49,977.00","19%(₹9,478)"
"HP 14s-fq1089AU Laptop ","AMD Ryzen 3 5300U/8 GB/512 GB SSD/Windows 11/MSO/FHD 35.56 cm ","/build/client/images/loaders/mdefault.png","₹38,499.00","₹52,900.00","27%(₹14,401)"
"HP 15s-fq5111TU Laptop ","12th Gen Intel Core i5-1235U/8 GB RAM/512 GB SSD/Windows 11 Home/MSO/FHD, 39.6 cm ","/build/client/images/loaders/mdefault.png","₹54,349.00","₹67,831.00","20%(₹13,482)"
"Dell Inspiron 3511 Laptop ","11th Gen Intel i3-1115G4/8GB/512GB SSD/Integrated Graphics/Windows 11/MSO/FHD, 39.6 cm ","/build/client/images/loaders/mdefault.png","₹40,943.00","₹45,999.00","11%(₹5,056)"
"Asus MB511WS VivoBook 16X Laptop ","AMD Ryzen 5 5600H/16 GB/512 GB SSD/AMD Radeon Vega 7 Graphics/Windows 11/MSO/WUXGA, 40.64 cm ","/build/client/images/loaders/mdefault.png","₹52,349.00","₹74,990.00","30%(₹22,641)"
